# Sample toolpath for UR3e 3D-printer demo.
# CSV format: x, y, z  (metres, in base_link frame)
# Traces a small 20 mm square at a reachable height for the UR3e.
# Print bed is at z = 0.10 m; first layer at z = 0.112 m.
#
# Layer 1 — outline of a 20 mm square centred at (0.30, 0.00)
0.290, -0.010, 0.112
0.310, -0.010, 0.112
0.310,  0.010, 0.112
0.290,  0.010, 0.112
0.290, -0.010, 0.112
# Layer 2
0.290, -0.010, 0.113
0.310, -0.010, 0.113
0.310,  0.010, 0.113
0.290,  0.010, 0.113
0.290, -0.010, 0.113
# Layer 3
0.290, -0.010, 0.114
0.310, -0.010, 0.114
0.310,  0.010, 0.114
0.290,  0.010, 0.114
0.290, -0.010, 0.114
